"Attribute";"Description";"MetaComponent";"LogicalPath";"Infrastructure";"DataType";"Values";"Entity";"Length";"Precision";"Scale";"Format";"Multiplicity";"MinValue";"MaxValue";"PhysicalAttribute";"BusinessObjectDependency";"BusinessObjectAttributeDependency";"Remark";"RequirementId";"Component";"Physical";"PhysicalEntity";"URL";"Discriminator";"BusinessObject";"BusinessFunction";"BusinessProcess";"Technology";"BusinessContact";"TechnologyContact";"ImplicitImport";"IsBusinessObjectAttribute";"BusinessObjectAttributeMapping";"BusinessObjectAttributeMappingDiscriminator";"BusinessObjectMapping";"BusinessObjectMappingDiscriminator";"NameInBusinessLanguage";"ConstantValue";"MetaType";"GUIName";"GUIType";"Namespace";"Nullable"
"Address";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/Address";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/Address";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"AddressLine1";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine1";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine1";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"AddressLine1Kanji";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine1Kanji";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine1Kanji";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"AddressLine2";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine2";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine2";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"AddressLine2Kanji";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine2Kanji";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/AddressLine2Kanji";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"BuildingNumber";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/BuildingNumber";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/BuildingNumber";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"City";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/City";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/City";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"CityKanji";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/CityKanji";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/CityKanji";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"Description";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/Description";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/Description";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
"Location";"";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/Location";"";"/pc1000/CCPolicySearchIntegration.wsdl/searchForPoliciesResponse/return/Entry/Properties/Location";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"min undef-max undef";"";"";"";"";"";"";"";"CCPolicySearchIntegration.wsdl";"";"";"";"";"";"";"";"";"";"";"false";"false";"";"";"";"";"";"";"";"";"";"http://www.w3.org/2001/XMLSchema";""
