ParentElement;Name;Source;Target;NoDirectional;ShortName;CurrentNotes;URL;Orientation;Description;Alignment;Width;Height;Space;FixedSize;Hide;HideText;HideImportState;ShowBorder;Picture;Shape;RGBBackground;RGBForeground;IsAdjacent;AdjacenedNode;Info;ChildrenInLine;ChildrenInLineImportState;ChildrenInLineDescription;ChildrenInLineDuringReduction;ChildrenInLineDescriptionDuringReduction;LineBreak;UseShortName;HighLevelContent;TechnicalID;LogicalSize;FillLine;BreakLine;SuperType;SourceMany;TargetMany;BoxViewElementList;AbstractionLevel;OnlyVisual;LogicalName;Lines;FontFactor;ComponentReferenceIdent;PathReferenceIdent;DataAssociationByAttributes;SchemaFromValues;IsColored;Bold;MetaComponent;ShapeX;ShapeY;ShapeWidth;ShapeHeight;LabelVerticalAlignment;StartFilter;ContainsFilter;EndFilter
/pc1000/AccountAPI.wsdl/AccountAPIPortType;/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber;;;;getAccountNumber;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber;/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;AccountAPI.wsdl;/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber;/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;AccountAPI.wsdl;/pc1000/AccountAPI.wsdl/AccountAPIPortType/getAccountNumber/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType;/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies;;;;hasActivePolicies;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies;/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;AccountAPI.wsdl;/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies;/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;AccountAPI.wsdl;/pc1000/AccountAPI.wsdl/AccountAPIPortType/hasActivePolicies/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType;/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber;;;;findAccountPublicIDByAccountNumber;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber;/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber/Input;;;;Input;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;AccountAPI.wsdl;/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber/Input;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber;/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber/Output;;;;Output;;;HBox;;;100;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;153-204-255;;FALSE;;;0;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;AccountAPI.wsdl;/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccountPublicIDByAccountNumber/Output;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
/pc1000/AccountAPI.wsdl/AccountAPIPortType;/pc1000/AccountAPI.wsdl/AccountAPIPortType/findAccounts;;;;findAccounts;;;HBox;;flexible;250;30;0;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;FALSE;;;4;0;0;0;0;0;FALSE;FALSE;;0;FALSE;FALSE;;FALSE;FALSE;0 Elemente;LowLevel;FALSE;;0;;;;FALSE;FALSE;FALSE;FALSE;;0;0;0;0;;;;
