"ParentElement";"Name";"Source";"Target";"NoDirectional";"ShortName";"CurrentNotes";"URL";"Orientation";"Description";"Alignment";"Width";"Height";"Space";"FixedSize";"Hide";"HideText";"HideImportState";"ShowBorder";"Picture";"Shape";"RGBBackground";"RGBForeground";"IsAdjacent";"AdjacenedNode";"Info";"ChildrenInLine";"ChildrenInLineImportState";"ChildrenInLineDescription";"ChildrenInLineDuringReduction";"ChildrenInLineDescriptionDuringReduction";"LineBreak";"UseShortName";"HighLevelContent";"TechnicalID";"LogicalSize";"FillLine";"BreakLine";"SuperType";"SourceMany";"TargetMany";"BoxViewElementList";"AbstractionLevel";"OnlyVisual";"LogicalName";"Lines";"FontFactor";"ComponentReferenceIdent";"PathReferenceIdent";"DataAssociationByAttributes";"SchemaFromValues";"IsColored";"Bold";"MetaComponent";"ShapeX";"ShapeY";"ShapeWidth";"ShapeHeight";"LabelVerticalAlignment";"StartFilter";"ContainsFilter";"EndFilter"
"/pl1000";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType";"";"";"";"PersonalDataDestructionAPIPortType";"";"";"HBox";"";"flexible";"250";"30";"0";"false";"false";"false";"false";"false";"";"";"";"";"false";"";"";"4";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"";"";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID";"";"";"";"requestContactRemovalWithABUID";"";"";"HBox";"";"flexible";"250";"30";"0";"false";"false";"false";"false";"false";"";"";"";"";"false";"";"";"4";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"";"";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID/Input";"";"";"";"Input";"";"";"HBox";"";"";"100";"30";"0";"false";"false";"false";"false";"false";"";"";"153-204-255";"";"false";"";"";"0";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"PersonalDataDestructionAPI.wsdl";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID/Input";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID/Output";"";"";"";"Output";"";"";"HBox";"";"";"100";"30";"0";"false";"false";"false";"false";"false";"";"";"153-204-255";"";"false";"";"";"0";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"PersonalDataDestructionAPI.wsdl";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithABUID/Output";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID";"";"";"";"requestContactRemovalWithPublicID";"";"";"HBox";"";"flexible";"250";"30";"0";"false";"false";"false";"false";"false";"";"";"";"";"false";"";"";"4";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"";"";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID/Input";"";"";"";"Input";"";"";"HBox";"";"";"100";"30";"0";"false";"false";"false";"false";"false";"";"";"153-204-255";"";"false";"";"";"0";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"PersonalDataDestructionAPI.wsdl";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID/Input";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID/Output";"";"";"";"Output";"";"";"HBox";"";"";"100";"30";"0";"false";"false";"false";"false";"false";"";"";"153-204-255";"";"false";"";"";"0";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"PersonalDataDestructionAPI.wsdl";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/requestContactRemovalWithPublicID/Output";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser";"";"";"";"destroyUser";"";"";"HBox";"";"flexible";"250";"30";"0";"false";"false";"false";"false";"false";"";"";"";"";"false";"";"";"4";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"";"";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser/Input";"";"";"";"Input";"";"";"HBox";"";"";"100";"30";"0";"false";"false";"false";"false";"false";"";"";"153-204-255";"";"false";"";"";"0";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"PersonalDataDestructionAPI.wsdl";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser/Input";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser/Output";"";"";"";"Output";"";"";"HBox";"";"";"100";"30";"0";"false";"false";"false";"false";"false";"";"";"153-204-255";"";"false";"";"";"0";"0";"0";"0";"0";"0";"false";"false";"";"0";"false";"false";"";"false";"false";"0 Elemente";"LowLevel";"false";"";"0";"";"PersonalDataDestructionAPI.wsdl";"/pl1000/PersonalDataDestructionAPI.wsdl/PersonalDataDestructionAPIPortType/destroyUser/Output";"false";"false";"false";"false";"";"0";"0";"0";"0";"";"";"";""
