Typelist,TableName,Code,Name,Description,Priority
"AcceptDecline","pctl_acceptdecline","accept","Accept","Akzeptieren","1"
"AcceptDecline","pctl_acceptdecline","decline","Decline","Ablehnen","2"
"AccountContact","pctl_accountcontact","AccountContact","AccountContact","AccountContact","-1"
"AccountContactRole","pctl_accountcontactrole","AccountContactRole","AccountContactRole","AccountContactRole","-1"
"AccountContactRole","pctl_accountcontactrole","AccountHolder","AccountHolder","AccountHolder","-1"
"AccountContactRole","pctl_accountcontactrole","AccountingContact","AccountingContact","AccountingContact","-1"
"AccountContactRole","pctl_accountcontactrole","AdditionalInsured","AdditionalInsured","AdditionalInsured","-1"
"AccountContactRole","pctl_accountcontactrole","AdditionalInterest","AdditionalInterest","AdditionalInterest","-1"
"AccountContactRole","pctl_accountcontactrole","BillingContact","BillingContact","BillingContact","-1"
"AccountContactRole","pctl_accountcontactrole","ClaimsInfoContact","ClaimsInfoContact","ClaimsInfoContact","-1"
"AccountContactRole","pctl_accountcontactrole","Driver","Driver","Fahrer","-1"
"AccountContactRole","pctl_accountcontactrole","InspectionContact","InspectionContact","InspectionContact","-1"
"AccountContactRole","pctl_accountcontactrole","LaborClient","LaborClient","LaborClient","-1"
"AccountContactRole","pctl_accountcontactrole","LaborContractor","LaborContractor","LaborContractor","-1"
"AccountContactRole","pctl_accountcontactrole","NamedInsured","NamedInsured","NamedInsured","-1"
"AccountContactRole","pctl_accountcontactrole","OwnerOfficer","OwnerOfficer","OwnerOfficer","-1"
"AccountContactRole","pctl_accountcontactrole","PolicyHolder_De","PolicyHolder_De","PolicyHolder_De","-1"
"AccountContactRole","pctl_accountcontactrole","SecondaryContact","SecondaryContact","SecondaryContact","-1"
"AccountOrgType","pctl_accountorgtype","individual","Individual","Einzelperson","-1"
"AccountOrgType","pctl_accountorgtype","solepropship","Sole proprietorship","Einzelunternehmung","-1"
"AccountOrgType","pctl_accountorgtype","executortrustee","Executor or trustee","Erbschaftsverwalter oder Vermögensverwalter","-1"
"AccountOrgType","pctl_accountorgtype","nonprofit","Non or not for profit corp.","Gemeinnützige Organisation","-1"
"AccountOrgType","pctl_accountorgtype","jointventure","Joint venture","Gemeinschaftsunternehmen","-1"
"AccountOrgType","pctl_accountorgtype","limitedpartnership","Limited partnership","Kommanditgesellschaft","-1"
"AccountOrgType","pctl_accountorgtype","privatecorp","Corporation - private","Körperschaft des bürgerlichen Rechts","-1"
"AccountOrgType","pctl_accountorgtype","corporation","Corporation - public","Körperschaft des öffentlichen Rechts","-1"
"AccountOrgType","pctl_accountorgtype","llc","LLC","Gesellschaft mit beschränkter Haftung","-1"
"AccountOrgType","pctl_accountorgtype","llp","LLP","LLP","-1"
"AccountOrgType","pctl_accountorgtype","commonownership","Common ownership","Miteigentum","-1"
"AccountOrgType","pctl_accountorgtype","partnership","Partnership","Partnerschaft","-1"
"AccountOrgType","pctl_accountorgtype","religious","Religious organization","Religiöse Organisation","-1"
"AccountOrgType","pctl_accountorgtype","other","Other","Sonstige","-1"
"AccountOrgType","pctl_accountorgtype","government","Government entity","Staatliche Einrichtung","-1"
"AccountOrgType","pctl_accountorgtype","trustestate","Trust or estate","Treuhandvermögen oder Erbmasse","-1"
"AccountPaymentMethod","pctl_accountpaymentmethod","ach","ACH/EFT","Lastschrift/Überweisung (Wert in Partner = LU)","-1"
"AccountPaymentMethod","pctl_accountpaymentmethod","responsive","Send Invoice","Rechnung (Wert in Partner = RS)","-1"
"AccountPaymentMethod","pctl_accountpaymentmethod","creditcard","Credit Card","Kreditkarte","-1"
"AccountPaymentMethod","pctl_accountpaymentmethod","unsupported","Unsupported","Kontozahlungsmethode nicht unterstützt","-1"
"AccountPaymentMethod","pctl_accountpaymentmethod","wire","Wire","Überweisung","-1"
"AccountRelationshipType","pctl_accountrelationshiptype","parent","Parent of","Übergeordnetes Element von","1"
"AccountRelationshipType","pctl_accountrelationshiptype","child","Child of","Untergeordnetes Element von","2"
"AccountRelationshipType","pctl_accountrelationshiptype","commonowner","Common Ownership","Gleichrangig","3"
"AccountStatus","pctl_accountstatus","Active","Active","Das Konto ist vollständig und offen, und es wurden Anträge dafür erstellt.","-1"
"AccountStatus","pctl_accountstatus","Pending","Pending","Das Konto ist zur Dateneingabe bereit, aber die Dateneingabe wurde noch nicht abgeschlossen, und das Konto wird deshalb noch nicht als vollständig offen angesehen.","-1"
"AccountStatus","pctl_accountstatus","Withdrawn","Withdrawn","Das Konto wird nicht mehr für Geschäfte mit dem Versicherungsträger berücksichtigt.","-1"
"AccountStatus","pctl_accountstatus","Merged","Merged","Das Konto wurde in ein anderes Konto verschoben und ist nur im Ansichtsmodus verfügbar.","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","AOPORT","Agency portal","Agenturportal","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","CONAS","Agency system/EES","Agentursystem/EES","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","ANTRAG","Submission (paper)","Antrag (Papier)","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","BUALL","Stock transfer other","Bestandsübernahme sonstige","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","BUDBV","Stock transfer from DBV","Bestandsübernahme von DBV","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","BUSIDI","Stock transfer from SiDi","Bestandsübernahme von SiDi","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","BRIEF","Mail/Fax","Briefpost/Fax","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","DTA","Disk replacement","Datenträgeraustausch","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","EMAIL","E-Mail","E-Mail","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","EINZLI","Single link","Einzellink","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","GDV","GDV input, further processing via EES","GDV Eingang, Weiterverarbeitung per EES","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","GLS","labeled Link Home","gelabelte Link-Startseite","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","GPP","labeled process portal","gelabeltes Prozessportal","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","INET","Internet (WWW)","Internet (WWW)","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","MAEXTR","Broker Extranet","Makler Extranet","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","MAKUEB","Broker portfolio transfer","Makler-Bestandsübertragung","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","PCANT","PC-Submission","PC-Antrag","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","TEL","Phone","Telefon","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","UAEL","UPAD-Submission-EES-Light","UPAD-Antrag-EES-Light","-1"
"AcquisitionChannel_De","pctl_acquisitionchannel_de","WEBSER","Webservice","Webservice","-1"
"Activity","pctl_activity","Activity","Activity","Aktivität","-1"
"ActivityCategory","pctl_activitycategory","general","General","Allgemein","-1"
"ActivityCategory","pctl_activitycategory","request","Request","Anforderung","-1"
"ActivityCategory","pctl_activitycategory","response","Response","Antwort","-1"
"ActivityCategory","pctl_activitycategory","interview","Interview","Befragung","-1"
"ActivityCategory","pctl_activitycategory","reminder","Reminder","Erinnerung","-1"
"ActivityCategory","pctl_activitycategory","correspondence","Correspondence","Korrespondenz","-1"
"ActivityCategory","pctl_activitycategory","newmail","New mail","Neue Mail","-1"
"ActivityCategory","pctl_activitycategory","uwreview","Underwriter Review","Eine Aktivität im Zusammenhang mit dem Underwriter-Überprüfungszyklus. Es sollte jeweils nur eine davon für eine Aufgabe geöffnet sein.","-1"
"ActivityCategory","pctl_activitycategory","approval","Approval","Genehmigung","-1"
"ActivityCategory","pctl_activitycategory","approvaldenied","Approval denied","Genehmigung abgelehnt","-1"
"ActivityClass","pctl_activityclass","task","Task","Aufgabe","-1"
"ActivityClass","pctl_activityclass","event","Event","Ereignis","-1"
"ActivityPatternLevel","pctl_activitypatternlevel","All","All","Aktivitätenmuster befindet sich auf allen Ebenen","-1"
"ActivityPatternLevel","pctl_activitypatternlevel","Account","Account","Aktivitätenmuster befindet sich auf einer Kontoebene","-1"
"ActivityPatternLevel","pctl_activitypatternlevel","Policy","Policy","Aktivitätenmuster befindet sich auf Policenebene","-1"
"ActivityPatternLevel","pctl_activitypatternlevel","Job","Job","Aktivitätenmuster befindet sich auf einer Aufgabenebene","-1"
"ActivityStatus","pctl_activitystatus","open","Open","Offen","1"
"ActivityStatus","pctl_activitystatus","skipped","Skipped","Übersprungen","2"
"ActivityStatus","pctl_activitystatus","complete","Complete","Abgeschlossen","3"
"ActivityStatus","pctl_activitystatus","canceled","Canceled","Abgebrochene Aktivität ist noch immer für den Benutzer sichtbar","4"
"ActivityType","pctl_activitytype","general","General","Allgemein","-1"
"ActivityType","pctl_activitytype","assignmentreview","Assignment Review","Zuweisungsüberprüfung","-1"
"ActivityType","pctl_activitytype","approval","Approval","Genehmigung","-1"
"ActivityType","pctl_activitytype","approvaldenied","Approval Denied","Genehmigung abgelehnt","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","VENDOR","Vendors","Anbieter","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","CLUB","Club Members","Clubmitglieder","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","OWNLAND","Owners or Other Interests From Whom Land Has Been Leased","Eigentümer oder andere Beteiligte, von denen Land gepachtet wurde","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","OLC","Owners, Lessees or Contractors","Eigentümer, Mieter oder Auftragnehmer","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","OLCCOMPLETE","Owners, Lessees or Contractors - Completed Operations","Eigentümer, Mieter oder Auftragnehmer - abgeschlossene Operationen","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","OLCSCHED","Owners, Lessees or Contractors - Scheduled Person or Organization","Eigentümer, Mieter oder Auftragnehmer - geplante Person oder Organisation","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","OLCCONST","Owners, Lessees or Contractors with Additional Insured Requirement In Construction Contract","Eigentümer, Mieter oder Auftragnehmer mit Anforderung für zusätzliche Versicherte im Bauvertrag","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","DESIG","Designated Person or Organization","Ernannte Person oder Organisation","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","ELECT","Elective or Appointive Executive Officers of Public Corporation","Gewählte oder ernannte Vorstandsvorsitzende einer Körperschaft des öffentlichen Rechts","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","CONTROL","Controlling Interest","Hauptbeteiligter","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","MORT","Mortgagee, Assignee or Receiver","Hypothekengläubiger, Beauftragter oder Zwangsverwalter","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","ENG","Engineers, Architects or Surveyors","Ingenieure/Techniker, Architekten oder Gutachter","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","ENGNOT","Engineers, Architects or Surveyors Not Engaged By the Named Insured","Ingenieure/Techniker, Architekten oder Gutachter, die nicht vom benannten Versicherten beauftragt sind","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","CONDO","Townhouse Associations","Interessensverbände für Reihenhausbewohner","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","CHCHVOL","Church Members, Officers and Volunteer Workers ","Kirchenmitglieder, Offizielle und Freiwillige ","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","CONCES","Concessionaires Trading Under Your Name","Konzessionierter Handel unter Ihrem Namen","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","COOWN","Co-Owner of Insured Premises","Miteigentümer des versicherten Betriebsgeländes","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","EXEC","Executors, Administrators, Trustees or Beneficiaries","Nachlassverwalter, Verwalter, Treuhänder oder Nutznießer","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","OILGAS","Oil or Gas Operations - Nonoperating, Co-owners","Öl- oder Gasgeschäft - betriebsfremd, Miteigentümer","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","GOVPERM","State or Political Subdivisions - Permits","Staatliche oder Gebietskörperschaften - Genehmigungen","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","GOVPREM","State or Political Subdivisions - Permits Relating to Premises","Staatliche oder Gebietskörperschaften - Genehmigungen in Bezug auf Betriebsgelände","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","GOVPREMOWN","State or Political Subdivisions - Permits Relating to Premises - Owner / Lessees","Staatliche oder Gebietskörperschaften - Genehmigungen in Bezug auf Betriebsgelände - Eigentümer/Pächter","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","GRANTFRAN","Grantor of Franchise","Verleiher eines Franchise","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","GRANTLICREQ","Grantor of Licenses - Automatic Status is required","Verleiher von Lizenzen - automatischer Status ist erforderlich","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","GRANTLICSCH","Grantor of Licenses - Scheduled","Verleiher von Lizenzen - geplant","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","LESSOR","Lessor","Vermieter","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","LESSEQUIP","Lessor of Leased Equipment","Vermieter von geleasten Anlagen","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","LESSEQUIPAUTO","Lessor of Leased Equipment-Automatic Status When Required in Lease Agreement","Vermieter von geleasten Anlagen-automatischer Status, wenn dies in der Leasingvereinbarung gefordert wird","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","MGRPREM","Managers or Lessors of Premises","Verwalter oder Vermieter von Betriebsgeländen","-1"
"AdditionalInsuredType","pctl_additionalinsuredtype","CHAR","Charitable Institutions ","Wohlfahrtsorganisationen ","-1"
"AdditionalInterestType","pctl_additionalinteresttype","CONSALE","Contract of Sale","Kaufvertrag","-1"
"AdditionalInterestType","pctl_additionalinteresttype","LOSSPAY","Loss Payable","Schadensersatz","-1"
"AdditionalInterestType","pctl_additionalinteresttype","LENDLOSS","Lenders Loss Payable","Schadensersatz für Kreditgeber","-1"
"AdditionalInterestType","pctl_additionalinteresttype","LESSOR","Lessor","Vermieter","-1"
"AdditionalInterestType","pctl_additionalinteresttype","LOSSP","Loss Payee","Zahlungsempfänger der Entschädigungsleistung","-1"
"AdditionalInterestType","pctl_additionalinteresttype","LIEN","Lienholder","Zurückbehaltungsberechtigter","-1"
"AdditionalPropertyType","pctl_additionalpropertytype","building","Building","Gebäude","-1"
"AdditionalPropertyType","pctl_additionalpropertytype","personalproperty","Personal Property","Privateigentum","-1"
"AddlInterestDetail","pctl_addlinterestdetail","AddlInterestDetail","AddlInterestDetail","AddlInterestDetail","-1"
"AddlInterestDetail","pctl_addlinterestdetail","BAVhcleAddlInterest","BAVhcleAddlInterest","BAVhcleAddlInterest","-1"
"AddlInterestDetail","pctl_addlinterestdetail","BOPBldgAddlInterest","BOPBldgAddlInterest","BOPBldgAddlInterest","-1"
"AddlInterestDetail","pctl_addlinterestdetail","CPBldgAddlInterest","CPBldgAddlInterest","CPBldgAddlInterest","-1"
"AddlInterestDetail","pctl_addlinterestdetail","IMSchEquipAddlInterest","IMSchEquipAddlInterest","IMSchEquipAddlInterest","-1"
"AddlInterestDetail","pctl_addlinterestdetail","PAVhcleAddlInterest","PAVhcleAddlInterest","PAVhcleAddlInterest","-1"
"Address","pctl_address","AccountLocation","AccountLocation","AccountLocation","-1"
"Address","pctl_address","Address","Address","Adresse","-1"
"AddressCategory_De","pctl_addresscategory_de","location","Location","Realer Standort (normalerweise mit Straße und Hausnummer)","10"
"AddressCategory_De","pctl_addresscategory_de","post_office_box","Post Office Box","Postfach","20"
"AddressCategory_De","pctl_addresscategory_de","large_recipients","Large Recipients","Großempfänger (haben eigene Postleitzahl - keine Straße / Hausnummer erforderlich)","30"
"AddressType","pctl_addresstype","unknown_de","Unkonwn","Unbekannt","-1"
"AddressType","pctl_addresstype","billing","Billing","Abrechnung","-1"
"AddressType","pctl_addresstype","business","Business","Geschäft","-1"
"AddressType","pctl_addresstype","home","Home","Privat","-1"
"AddressType","pctl_addresstype","other","Other","Sonstige","-1"
"AdvertPermission_De","pctl_advertpermission_de","yes","Permission was granted","Erlaubnis wurde erteilt (Wert in Partner = J)","-1"
"AdvertPermission_De","pctl_advertpermission_de","no","Permission was not granted","Erlaubnis wurde nicht erteilt (Wert in Partner = N)","-1"
"AdvertPermission_De","pctl_advertpermission_de","unknown","Unknown","Unbekannt (Wert in Partner = """")","-1"
"AdvertPermission_De","pctl_advertpermission_de","lock","Policy-specific Block","Vertragsspezifische Sperre (Wert in Partner = V)","-1"
"AffinityGroupType","pctl_affinitygrouptype","Closed","Closed","Geschlossen","-1"
"AffinityGroupType","pctl_affinitygrouptype","Open","Open","Offen","-1"
"AggLimitLevel","pctl_agglimitlevel","policy","per policy","pro Police","0"
"AggLimitLevel","pctl_agglimitlevel","location","per location","pro Standort","1"
"AggLimitLevel","pctl_agglimitlevel","building","per building","pro Gebäude","2"
"AggregateLimits","pctl_aggregatelimits","Location","Location","Ort","1"
"AggregateLimits","pctl_aggregatelimits","Project","Project","Projekt","2"
"AlarmCertification","pctl_alarmcertification","UL","UL","UL","1"
"AlarmClass","pctl_alarmclass","None_De","None","Keine Einbruchmeldeanlange vorhanden","10"
"AlarmClass","pctl_alarmclass","ExistsNonVds_De","exists (non-VdS approved)","Eine Einbruchmeldeanlage ist vorhanden, aber nicht von der VdS anerkannt","20"
"AlarmClass","pctl_alarmclass","ExistsVdsClassA_De","Exists (VdS class A)","Eine VdS-anerkannte Einbruchmeldeanlage der Klasse A ist vorhanden","30"
"AlarmClass","pctl_alarmclass","ExistsVdsClassB_De","Exists (VdS class B)","Eine VdS-anerkannte Einbruchmeldeanlage der Klasse B ist vorhanden","40"
